Title,Genre,User Rating,Number of Votes,Runtime,Year,Stars,Certificate,Metascore,Gross,Episode,Episode Title
Princess Mononoke,"Animation, Action, Adventure",8.3,"4,14,846",134 min,-1997,,PG-13,76,414846,0,
Perfect Blue,"Animation, Crime, Drama",8,"87,360",81 min,-1997,,R,67,87360,0,
Tarzan,"Animation, Adventure, Comedy",7.3,"2,39,057",88 min,-1999,,G,79,239057,0,
Big Hero 6,"Animation, Action, Adventure",7.8,"4,85,085",102 min,-2014,,PG,74,485085,0,
Suzume,"Animation, Action, Adventure",7.7,"25,792",122 min,-2022,,PG,77,25792,0,
Incredibles 2,"Animation, Action, Adventure",7.6,"3,17,085",118 min,-2018,,PG,80,317085,0,
Wreck-It Ralph,"Animation, Adventure, Comedy",7.7,"4,44,285",101 min,-2012,,PG,72,444285,0,
Brave,"Animation, Action, Adventure",7.1,"4,29,432",93 min,-2012,,PG,69,429432,0,
Neon Genesis Evangelion,"Animation, Action, Drama",8.5,"78,730",24 min,(1995–1996),"Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer",TV-MA,,78730,0,
One Piece Film: Red,"Animation, Action, Adventure",6.7,"15,201",115 min,-2022,,PG-13,69,15201,0,
Lilo & Stitch,"Animation, Adventure, Comedy",7.3,"2,03,819",85 min,-2002,,PG,74,203819,0,
Spy x Family,"Animation, Action, Comedy",8.4,"32,062",24 min,(2022– ),"Noucky Andriansyah,Takuya Eguchi,Atsumi Tanezaki,Megan Shipman",TV-14,,32062,0,
The Secret Life of Pets,"Animation, Adventure, Comedy",6.5,"2,11,442",87 min,-2016,,PG,61,211442,0,
Cars 3,"Animation, Adventure, Comedy",6.7,"1,13,161",102 min,-2017,,G,59,113161,0,
Atlantis: The Lost Empire,"Animation, Action, Adventure",6.9,"1,28,780",95 min,-2001,,PG,52,128780,0,
Dragon Ball Super,"Animation, Action, Adventure",8.3,"33,539",24 min,(2015–2018),"Masako Nozawa,Naoki Tatsuta,Sean Schemmel,Ryô Horikawa",TV-PG,,33539,0,
Cars 2,"Animation, Adventure, Comedy",6.2,"2,06,725",106 min,-2011,,G,57,206725,0,
Gintama,"Animation, Action, Comedy",8.7,"13,783",25 min,(2005–2021),"Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya,Kazuya Nakai",TV-14,,13783,0,
Heavenly Delusion,"Animation, Adventure, Mystery",8,"3,841",24 min,(2023– ),"Nick Martineau,Gen Satô,Sayaka Senbongi,Hibiku Yamamura",TV-MA,,3841,0,
Tokyo Revengers,"Animation, Action, Drama",7.9,"22,189",24 min,(2021– ),"Griffin Puatu,Darren O'Hare,Adam McArthur,Nicolas Roye",TV-14,,22189,0,
My Neighbor Totoro,"Animation, Comedy, Family",8.1,"3,60,726",86 min,-1988,,G,86,360726,0,
The Emperor's New Groove,"Animation, Adventure, Comedy",7.4,"2,16,870",78 min,-2000,,G,70,216870,0,
Pocahontas,"Animation, Adventure, Drama",6.7,"1,97,116",81 min,(I) (1995),,G,58,197116,0,
Frozen II,"Animation, Adventure, Comedy",6.8,"1,85,430",103 min,-2019,,PG,64,185430,0,
Toy Story 2,"Animation, Adventure, Comedy",7.9,"6,03,780",92 min,-1999,,G,88,603780,0,
Akira,"Animation, Action, Drama",8,"1,97,226",124 min,-1988,,R,67,197226,0,
Hell's Paradise: Jigokuraku,"Animation, Action, Adventure",8.2,"8,402",24 min,(2023– ),"Chiaki Kobayashi,Yumiri Hanamori,Marisa Duran,Alejandro Saab",TV-MA,,8402,0,
【Oshi No Ko】,"Animation, Drama, Fantasy",8.5,"6,207",24 min,(2023– ),"Takeo Otsuka,Yurie Igoma,Megumi Han,Jack Stansbury",TV-14,,6207,0,
Haikyu!!,"Animation, Comedy, Drama",8.7,"31,351",24 min,(2014–2020),"Ayumu Murase,Kaito Ishikawa,Yu Hayashi,Satoshi Hino",TV-14,,31351,0,
Isle of Dogs,"Animation, Adventure, Comedy",7.8,"1,82,832",101 min,-2018,,PG-13,82,182832,0,
Lightyear,"Animation, Action, Adventure",6.1,"1,17,839",105 min,-2022,,PG,60,117839,0,
Monsters University,"Animation, Adventure, Comedy",7.2,"3,77,449",104 min,-2013,,G,65,377449,0,
Sonic the Hedgehog 3,"Animation, Action, Adventure",,,,-2024,,,,,0,
Baki the Grappler,"Animation, Action, Drama",7.5,"1,947",24 min,(2001–2007),"Bob Carter,Masami Kikuchi,Robert McCollum,Naomi Kusumi",TV-PG,,1947,0,
Onward,"Animation, Action, Adventure",7.4,"1,61,752",102 min,(I) (2020),,PG,61,161752,0,
Ralph Breaks the Internet,"Animation, Adventure, Comedy",7,"1,74,484",112 min,-2018,,PG,71,174484,0,
Code Geass,"Animation, Action, Drama",8.7,"75,288",24 min,(2006–2008),"Jun Fukuyama,Takahiro Sakurai,Johnny Yong Bosch,Yukana",TV-14,,75288,0,
Dragon Ball,"Animation, Action, Adventure",8.6,"62,616",25 min,(1986–1989),"Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny",TV-14,,62616,0,
Paprika,"Animation, Drama, Fantasy",7.7,"90,584",90 min,-2006,,R,81,90584,0,
How to Train Your Dragon: The Hidden World,"Animation, Action, Adventure",7.4,"1,42,317",104 min,-2019,,PG,71,142317,0,
Mob Psycho 100,"Animation, Action, Comedy",8.6,"40,175",24 min,(2016–2022),"Setsuo Ito,Takahiro Sakurai,Chris Niosi,Akio Ôtsuka",TV-14,,40175,0,
Star Wars: Visions,"Animation, Action, Adventure",7,"22,575",,(2021– ),"Michael Sinterniklaas,Neil Kaplan,Adam Sietz,JP Karliak",TV-PG,,22575,0,
The Hunchback of Notre Dame,"Animation, Drama, Family",7,"1,66,476",91 min,-1996,,G,74,166476,0,
Jujutsu Kaisen 0,"Animation, Action, Fantasy",7.8,"28,005",112 min,-2021,,PG-13,71,28005,0,
Despicable Me 2,"Animation, Adventure, Comedy",7.3,"4,15,260",98 min,-2013,,PG,62,415260,0,
Ghost in the Shell,"Animation, Action, Crime",7.9,"1,50,953",83 min,-1995,,TV-MA,76,150953,0,
Strange World,"Animation, Action, Adventure",5.7,"42,585",102 min,-2022,,PG,65,42585,0,
Ponyo,"Animation, Adventure, Comedy",7.6,"1,54,350",101 min,-2008,,G,86,154350,0,
Kiki's Delivery Service,"Animation, Family, Fantasy",7.8,"1,55,616",103 min,-1989,,G,85,155616,0,
"Re: Zero, Starting Life in Another World","Animation, Adventure, Drama",8.1,"21,918",24 min,(2016– ),"Yûsuke Kobayashi,Rie Takahashi,Sean Chiplock,Rie Murakawa",TV-14,,21918,0,
Bolt,"Animation, Adventure, Comedy",6.8,"2,22,326",96 min,-2008,,PG,67,222326,0,
The Seven Deadly Sins,"Animation, Action, Adventure",7.8,"35,861",24 min,(2014–2021),"Bryce Papenbrook,Erika Harlacher,Max Mittelman,Cristina Valenzuela",TV-14,,35861,0,
Steins;Gate,"Animation, Comedy, Drama",8.8,"68,941",24 min,(2011–2015),"Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch",TV-14,,68941,0,
A Silent Voice: The Movie,"Animation, Drama",8.1,"93,393",130 min,-2016,,Not Rated,78,93393,0,
The Wind Rises,"Animation, Biography, Drama",7.7,"92,716",126 min,-2013,,PG-13,83,92716,0,
Dr. Stone,"Animation, Action, Adventure",8.1,"25,004",24 min,(2019– ),"Yûsuke Kobayashi,Manami Numakura,Ayumu Murase,Gen Satô",TV-14,,25004,0,
Tokyo Ghoul,"Animation, Action, Drama",7.7,"60,399",24 min,-2014,"Natsuki Hanae,Austin Tindle,Brina Palencia,Sora Amamiya",TV-MA,,60399,0,
Sword Art Online,"Animation, Action, Adventure",7.5,"49,959",24 min,(2012– ),"Yoshitsugu Matsuoka,Haruka Tomatsu,Bryce Papenbrook,Cherami Leigh",TV-14,,49959,0,
Fairy Tail,"Animation, Action, Adventure",7.9,"26,726",24 min,(2009–2019),"Cherami Leigh,Todd Haberkorn,Tia Lynn Ballard,Tetsuya Kakihara",TV-14,,26726,0,
The Good Dinosaur,"Animation, Adventure, Comedy",6.7,"1,23,052",93 min,-2015,,PG,66,123052,0,
Meet the Robinsons,"Animation, Adventure, Comedy",6.8,"1,07,430",95 min,-2007,,G,61,107430,0,
