Title,Genre,User Rating,Number of Votes,Runtime,Year,Stars,Certificate,Metascore,Gross,Episode,Episode Title
"Saikin, imouto no yousu ga chotto okashiindaga OVA","Animation, Short, Comedy",6.1,15,24 min,(2014 Video),,,,15,0,
Get Ride! AM Driver,"Animation, Action, Adventure",,,24 min,(2004–2005),"Chris Cason,Kevin Connolly,Kôji Yusa,Toshiyuki Toyonaga",TV-14,,,0,
Uchuu Senkan Yamato to Iu Jidai: Seireki 2202-nen no Sentaku,Animation,7.5,8,120 min,-2021,,,,8,0,
Shin Chuuka Ichiban!,Animation,6.8,21,,(2019– ),"Natsumi Fujiwara,Ai Kayano,Yukiyo Fujii",,,21,0,
The Life of Guskou Budori,"Animation, Drama, Family",6.6,26,85 min,-1994,,,,26,0,
The Samurai,"Animation, Action, Comedy",6.2,40,45 min,(1987 Video),,,,40,0,
The Prince of Tennis Best Games!! VOL.2,"Animation, Sport",8.1,15,45 min,-2019,,,,15,0,
Final Fantasy XV: Episode Ardyn - Prologue,"Animation, Short, Action",6.7,78,13 min,-2019,,,,78,0,
Gekijouban Seitokai Yakuindomo 2,Animation,6.2,65,80 min,-2021,,,,65,0,
Konjiki no Gashbell 2: Attack of the Mecha Vulcans,Animation,6.4,52,,-2005,,,,52,0,
The Spider and the Tulip,"Animation, Short, Adventure",6.7,208,16 min,-1943,,,,208,0,
Sergeant Keroro the Super Movie 4: Gekishin Dragon Warriors,"Animation, Comedy, Drama",5.8,60,77 min,-2009,,,,60,0,
Magical Girl Lyrical Nanoha: Detonation,"Animation, Action",7.2,34,111 min,-2018,,,,34,0,
Nurse Witch Komugi-chan R,"Animation, Comedy, Fantasy",5.8,26,23 min,(2016– ),"Kei Tomoe,Erii Yamazaki,Makoto Koichi,Akane Kohinata",,,26,0,
Military!,"Animation, Comedy",5,70,3 min,-2015,"Ayane Sakura,Nao Tôyama,Yoshitaka Yamaya",,,70,0,
Toi,"Animation, Drama, Music",6.5,56,55 min,(1987 Video),,,,56,0,
Iczer Reborn,"Animation, Sci-Fi",6.2,47,30 min,(1990– ),"Minami Takayama,Elly Fairman,Roger May,Mindy Lee Raskin",12,,47,0,
Haô Taikei Ryû Knight: Adeu's Legend,"Animation, Action, Sci-Fi",8.2,7,30 min,(1994–1995),"Jûrôta Kosugi,Akiko Yajima,Tomohiro Nishimura,Hiro Yûki",,,7,0,
Dennou Boukenki Webdiver,Animation,7,9,,(2001– ),"Tomokazu Sugita,Yumiko Kobayashi,Yuki Kaida,Shiho Kikuchi",,,9,0,
Machine Robo: Revenge of Cronos,"Animation, Action, Adventure",6.9,25,24 min,(1986–1987),"Kazuhiko Inoue,Kôichi Hashimoto,Toshiharu Sakurai,Shinya Ôtaki",PG,,25,0,
Gekijouban Re: cycle of the Penguindrum - Kouhen Boku wa Kimi o Aishiteru,"Animation, Adventure, Fantasy",7.4,12,143 min,-2022,,15,,12,0,
Assemble Insert,"Animation, Short, Action",7.2,71,28 min,(1989 Video),,Not Rated,,71,0,
Fujimi Orchestra,"Animation, Drama, Music",,,60 min,(1997 Video),,,,,0,
King of Fighters '96 Neo-Geo Collection,"Animation, Documentary, Short",9.2,21,,(1997 Video),"Hiroyuki Arita,Satoshi Hashimoto,Nobuyuki Hiyama,Kaori Horie",,,21,0,
Bubu Chacha,"Animation, Adventure, Family",7.2,37,,(1996– ),"Yûko Sasamoto,Chô,Atsuko Tanaka,Takuma Suzuki",,,37,0,
The Invention of Destruction in the Imaginary Machines,"Animation, Short",6.7,27,,-2002,,,,27,0,
Looking Back at It All: The Dragon Ball Z Year-End Show!,"Animation, Action, Comedy",6,55,,(1993 TV Movie),"Masako Nozawa,Naoko Watanabe,Hikaru Midorikawa,Norio Wakamoto",,,55,0,
Debutante Detective Corps,"Animation, Short, Comedy",4.3,29,30 min,(1996 Video),,,,29,0,
Seven of Seven,"Animation, Comedy",7.4,21,22 min,(2002– ),"Veronica Taylor,Rachael Lillis,Michael Sinterniklaas,Sean Schemmel",,,21,0,
Hummingbirds,"Action, Animation, Comedy",7.8,17,140 min,(1993 Video),,,,17,0,
Huckleberry Finn Monogatari,"Animation, Family",7.1,18,30 min,(1994–1995),,,,18,0,
Chibi Revenger,"Animation, Comedy",7.2,17,,(2021– ),,,,17,0,
Pigtails,"Animation, Short, Drama",6.5,131,29 min,-2015,,,,131,0,
Fist of the North Star Legennd of Heroes - Special Edition,"Animation, Short, Action",5.2,5,,(2007 Video),,,,5,0,
Cartoon-Box,"Animation, Comedy",,,,(2016– ),"Romain Brillaud,Guillaume Cassuto,Max Cazier,Daniel Hiu Tung Chan",TV-MA,,,0,
Happiness!,"Animation, Comedy, Romance",5.7,41,,(2006–2007),"Takashi Ôhara,Yui Sakakibara",,,41,0,
Landlock,"Animation, Fantasy, Sci-Fi",5.1,134,90 min,(1996 Video),,15,,134,0,
Kyôran kazoku nikki,"Animation, Comedy, Sci-Fi",6.8,23,,(2008– ),"Hiroki Yasumoto,Ayumi Fujimura,Takayuki Kondô,Yoshinori Fujita",,,23,0,
Sound! Euphonium the Movie: May the Melody Reach You!,"Animation, Comedy, Drama",6.9,193,105 min,-2017,,,,193,0,
Tistou the Green Thumb,"Animation, Fantasy, War",8,33,75 min,-1990,,,,33,0,
Chinpui: Eri-sama Katsudou Daishashin,"Short, Animation",,,40 min,-1990,,,,,0,
"President, It's Time for Battle!","Animation, Adventure, Fantasy",6,79,,(2020– ),"Shun Horie,Azumi Waki,Josh Grelle,Katelyn Barr",TV-14,,79,0,
Konpeki no Kantai,Animation,6,9,,(1993–2003),,,,9,0,
Mermaid,"Animation, Short, Drama",7.1,262,8 min,-1964,,,,262,0,
Divergence Eve: Misaki Chronicles,"Animation, Drama, Horror",6.6,30,24 min,-2004,"Matt Culpepper,Cynthia Martinez,Monica Rial,Brittney Karbowski",TV-14,,30,0,
Alice or Alice: Siscon Niisan to Futago no Imouto,"Animation, Comedy",4.7,46,3 min,(2018– ),"Yoshitsugu Matsuoka,Ayane Sakura,Rina Hidaka",,,46,0,
Sushi Sumo,Animation,,,4 min,(2021– ),"Kenjirô Tsuda,Chiharu Sawashiro,Kento Hama,Kenta Sasa",,,,0,
Hello Kitty & Friends - Let's Learn Together,"Animation, Family",,,,-2017,"Luci Christian,Juliet Simmons,Sasha Paysinger,Chaney Moore",TV-G,,,0,
Kyoryu Tankentai Born Free,"Animation, Adventure, Mystery",7,16,24 min,(1976– ),"Katsuji Mori,Junpei Takiguchi,Yôko Kuri,Shingo Kanemoto",,,16,0,
Sky Girls,"Animation, Action, Sci-Fi",6.8,39,,(2007– ),"Ayako Kawasumi,Saori Gotô,Shizuka Itou,Ayumi Tsuji",,,39,0,
Future Robot Daltanious,"Animation, Comedy, Sci-Fi",7.3,87,25 min,(1979–1980),"Toshio Furukawa,Ken'ichi Ogata,Tomomichi Nishimura,Keiko Han",,,87,0,
Infinite Stratos 2: Long Vacation Edition,Animation,6.5,9,39 min,(2013 Video),,,,9,0,
Hiyoko no Basket Movie: Last Game 0401,"Animation, Short, Comedy",6,6,1 min,(2017 Video),,,,6,0,
Slow Step,"Animation, Comedy, Drama",7.9,46,45 min,(1991– ),"Minami Takayama,Kappei Yamaguchi,Hikaru Midorikawa,Ryô Horikawa",,,46,0,
"Bush Baby, Little Angel of the Grasslands",Animation,7.4,55,24 min,(1992– ),"Daniel Brochu,Sonja Ball,Pauline Little,Mark Camacho",,,55,0,
Kairi Sane's Pirate School,"Animation, Adventure, Family",,,,(2022– ),"Leslie Carrara-Rudolph,Tabitha St. Germain,Kaori Housako,Meiko Satomura",,,,0,
Shinchan: Special Episodes,Animation,,,,(1992– ),"Akiko Yajima,Yumiko Kobayashi,Michie Tomizawa,Miki Narahashi",TV-PG,,,0,
Gekijô ban Gegege no Kitarô: Nippon bakuretsu,"Animation, Adventure, Drama",4.6,21,75 min,-2008,,,,21,0,
Dorami & Doraemonzu: Robotto gakkô nana fushigi!?,"Animation, Short",7.8,25,31 min,-1996,,,,25,0,
Onipan!,"Animation, Comedy",6.3,26,,-2022,"Kikuko Inoue,Miyu Tomita,Kaori Maeda,Kokona Nonaka",,,26,0,
THE IDOLM@STER CINDERELLA GIRLS Theater,"Animation, Short, Comedy",6.8,8,3 min,(2017–2019),"Ru Thing,Sumire Uesaka,Maaya Uchida,Yumiri Hanamori",TV-14,,8,0,
Shamanic Princess,"Animation, Fantasy, Romance",6.6,133,60 min,(1996– ),"Crispin Freeman,Tara Sands,Rachael Lillis,Suzanne Savoy",TV-14,,133,0,
Battle Athletes Victory,"Animation, Action, Adventure",5.7,293,,(1997–1998),"Rio Natsuki,Christina Carlisi,Susan Marque,George Cheung",,,293,0,
Fireball Charming,"Animation, Short, Comedy",6.5,27,2 min,(2011– ),"Tôru Ohkawa,Miyuki Kawashô,Fumihiko Tachiki,Kensô Katô",,,27,0,
Hashire Melos,"Animation, Drama",6.6,28,68 min,(1981 TV Movie),,,,28,0,
Witch Girl Tickle,"Animation, Comedy, Family",6,26,24 min,(1978–1979),"Rihoko Yoshida,Hiroshi Ôtake,Isamu Tanonaka,Sachiko Chijimatsu",,,26,0,
KJ File,"Animation, Action, Sci-Fi",3.3,6,,(2022– ),,,,6,0,
Ramune,Animation,6.6,44,,(2005– ),"Kishô Taniyama,Yûko Gotô,Mikako Satô,Hikaru Tokita",,,44,0,
"Three Leaves, Three Colors","Animation, Comedy",7.4,104,24 min,-2016,"Yû Wakui,Ayaka Imamura,Mai Kanazawa,Jeannie Tirado",TV-14,,104,0,
"Pikachu, What's This Key?","Animation, Short, Adventure",6.5,41,22 min,-2014,,TV-Y7,,41,0,
Fate/Zero Remix,"Animation, Short, Action",7.4,24,24 min,(2012 Video),"Sayaka Hara,Mai Kadowaki,Ayako Kawasumi,Rikiya Koyama",,,24,0,
Polyphonica,"Animation, Comedy, Drama",6.6,31,,-2007,"Hiroshi Kamiya,Haruka Tomatsu,Ayako Kawasumi,Rina Satô",,,31,0,
Tekkaman Blade: Missing Link,"Animation, Short, Action",6,12,6 min,(1999 Video),,,,12,0,
Pyun Pyun Maru,Animation,,,30 min,(1967–1970),"Kazue Tagami,Midori Katô,Machiko Soga,Fuyumi Shiraishi",,,,0,
Hina Logic: From Luck & Logic,Animation,5.5,26,,-2017,"Brittany Lauda,Dawn M. Bennett,Leah Clark,Madeleine Morris",,,26,0,
Hi no tori: Yamato-hen,"Animation, Drama, History",6.9,47,48 min,(1987 Video),,,,47,0,
Locodol,"Animation, Comedy",8.1,91,,-2014,"Inori Minase,Miku Itou,Asami Imai,Sachika Misawa",TV-PG,,91,0,
Urusei Yatsura: Catch the Heart,"Animation, Short, Comedy",8.1,62,26 min,(1989 Video),,,,62,0,
Loop8: Summer of Gods,"Animation, Sci-Fi",,,,(2023 Video Game),"Gakuto Kajiwara,Azumi Waki,Aoi Koga,Megu Umezawa",,,,0,
A New Beginning - OniGiri,"Animation, Short, Adventure",,,3 min,(2023 Video),,,,,0,
Woodpecker Detective's Office,"Animation, History, Mystery",7,63,,(2020– ),"Shintarô Asanuma,Takahiro Sakurai,Kenjirô Tsuda,Makoto Furukawa",,,63,0,
After School in the Teacher's Lounge,"Animation, Drama, Romance",4.6,35,,(1994–1995),"Toshiyuki Morikawa,Hikaru Midorikawa,Jun'ichi Kanemaru,Kiyoyuki Yanada",,,35,0,
Elemi,Animation,6.8,16,46 min,-2009,,,,16,0,
Sergeant Keroro the Super Movie,"Animation, Comedy, Sci-Fi",6.3,144,60 min,-2006,,,,144,0,
Usuzumizakura: Garo,"Animation, Action, Fantasy",5.7,24,82 min,-2018,,,,24,0,
Manxmouse,"Animation, Adventure, Family",6.7,27,85 min,-1979,,,,27,0,
Nobunagun,"Animation, Action",6.7,116,,(2014– ),"Jad Saxton,J. Michael Tatum,Monica Rial,Jason Liebrecht",,,116,0,
Genji monogatari sennenki: Genji,"Animation, Drama, History",6.2,62,,(2009– ),"Takahiro Sakurai,Aya Endô,Toshiko Fujita",,,62,0,
Magical Angel Sweet Mint,"Animation, Comedy, Family",7.5,18,24 min,(1990– ),"Nozomu Sasaki,Yuriko Fuchizaki,Sakiko Tamagawa,Hiroko Maruyama",,,18,0,
Infinite Stratos 2: World Purge,Animation,6.4,12,44 min,(2014 Video),,,,12,0,
Manager's Love,"Animation, Comedy, Romance",5.7,31,30 min,(2010 TV Movie),"Hiroshi Kamiya,Katsuyuki Konishi,Kenji Nojima,Ryôtarô Okiayu",,,31,0,
Hidari,"Animation, Short, Action",,,6 min,-2023,,,,,0,
Toaru Majutsu no Index-tan,Animation,6.4,29,,(2009– ),"Rina Satô,Yuka Iguchi,Atsushi Abe",,,29,0,
Dragon Quest: Great Adventure of Dai! Disciple of Aban,"Animation, Short, Action",6.4,12,40 min,-1992,,,,12,0,
Kagewani,"Animation, Short, Horror",6.1,103,7 min,(2015– ),"Tomokazu Sugita,Ryôtarô Okiayu",,,103,0,
Patalliro Saiyuki,"Animation, Adventure, Comedy",6.4,20,,(2005– ),"Susumu Chiba,Ken'yû Horiuchi,Kentarô Itô,Yuki Kaida",,,20,0,
Dragon League,"Animation, Adventure, Fantasy",7.3,32,30 min,(1993–1994),"Yasuhiko Kawazu,Toshiharu Sakurai,Tomo Sakurai,Megumi Hayashibara",,,32,0,
Kaginado,"Animation, Short, Comedy",6.9,44,,(2021–2022),"Yui Horie,Keiko Suzuki,Daisuke Sakaguchi,Daisuke Ono",,,44,0,
Stop for a Minute,"Documentary, Animation, Short",3,41,1 min,(2001– ),"Jasper Pummell,Francis Pummell,Harmony Korine,Roman Coppola",,,41,0,
Bakumatsu Rock,Animation,5.9,26,,(2014– ),"Tatsuhisa Suzuki,Hiroki Yasumoto,Keiji Fujiwara,Kenji Nomura",,,26,0,
Final Fantasy: Crystal Chronicles Remastered Edition,"Animation, Action, Adventure",5.5,19,,(2020 Video Game),"Donna Burke,Sean Chiplock,Allegra Clark,Lucien Dodge",,,19,0,
Code-E,"Animation, Comedy, Romance",6.5,30,,(2007– ),"Katsuhito Nomura,Mai Hashimoto",,,30,0,
Tsukumogami Kashimasu,"Animation, Fantasy",7,33,,(2018– ),"Takahiro Sakurai,Junya Enoki,Mikako Komatsu,Daisuke Hirakawa",,,33,0,
Samurai Showdown 2,Animation,6.7,50,56 min,(1999 Video),,,,50,0,
Princess Comet,Animation,7.1,37,24 min,(2001–2002),"Aki Maeda,Chieko Honda,Hiroki Shimowada,Jin Yamanoi",U,,37,0,
Go Nagai World,"Animation, Comedy, Sci-Fi",6.6,30,40 min,-1991,"Unshô Ishizuka,Show Hayami,Takeshi Aono,Yoshiko Sakakibara",Not Rated,,30,0,
UQ Holder! Mahou Sensei Negima! Karin-senpai no Ienai Himitsu,"Animation, Short",7.2,6,23 min,(2018 Video),"Mamiko Noto,Yui Ogura",,,6,0,
Cheer Boys!!,"Animation, Drama, Sport",6.3,112,24 min,(2016– ),"Yûki Yonai,Nobuhiko Okamoto,Dallas Reid,Tomokazu Sugita",TV-14,,112,0,
Demon-man Bem,"Animation, Adventure, Horror",7.7,63,,(1968–1969),"Kiyoshi Kobayashi,Hiroko Emori,Mari Shimizu",,,63,0,
Black Jack: Two Doctors in Black,Animation,6.5,87,133 min,-2005,,,,87,0,
Mappy,Animation,8.5,43,8 min,(2013– ),"Dax Gordine,Scott Kurtz,Nic Nagel,Kris Straub",,,43,0,
Supa Miruku Chan,"Animation, Comedy, Sci-Fi",7.1,24,8 min,-1998,"Monica Rial,Greg Ayres,Chris Patton,Ben Pronsky",TV-MA,,24,0,
Fashionable Witches Love and Berry: Magic of Happiness,"Animation, Fantasy",,,51 min,-2007,,,,,0,
Starlight Promises,Animation,6.7,56,62 min,(2018 Video),,,,56,0,
Kaina of the Great Snow Sea: Star Sage,Animation,,,,-2023,,,,,0,
Komori-san Can't Decline,"Animation, Short, Comedy",5.4,112,2 min,-2015,"Aya Uchida,Ari Ozawa,Maria Naganawa,Akari Kageyama",,,112,0,
Mister Ajikko,"Animation, Comedy",7,60,25 min,(1987–1989),"Kôichi Yamadera,Minami Takayama,Naoki Tatsuta,Hirotaka Suzuoki",,,60,0,
Idol Incidents,Animation,,,23 min,-2017,"Mai Fuchigami,Reina Ueda,Sarara Yashima",TV-14,,,0,
Mouse Story: The Adventures of George and Gerald,"Animation, Adventure, Comedy",6.3,20,52 min,-2007,,,,20,0,
Urusei Yatsura: Memorial Album,"Animation, Short, Comedy",6.3,32,30 min,(1986 Video),,,,32,0,
Melody of Oblivion,"Animation, Horror, Sci-Fi",6.1,59,25 min,(2004– ),"Ted Sroka,Carrie Savage,Taliesin Jaffe,Yuri Lowenthal",,,59,0,
Inuyasha: The Fantasy Countdown!,"Animation, Short",8.2,13,35 min,(2004 Video),,,,13,0,
Magical Girl Lyrical Nanoha the Movie 2nd A's,"Animation, Action, Drama",7.2,61,150 min,-2012,,,,61,0,
Chibi Maruko-chan: Watashi no suki-na uta,Animation,7.4,43,93 min,-1992,,,,43,0,
Kinnikuman: Ubawareta champion belt,Animation,6.1,18,,-1984,,,,18,0,
Starzinger II,Animation,8.3,49,120 min,-2011,,Not Rated,,49,0,
Shakotan Boogie,"Animation, Comedy",7.8,5,,(1991–1992),,,,5,0,
Explorer Woman Ray,Animation,6.7,34,60 min,(1989 Video),,,,34,0,
Hacka Doll the Animation,"Animation, Short, Comedy",5.7,44,7 min,(2015– ),"Reina Ueda,Ryôka Yuzuki,Nanami Yamashita,Kaya Okuno",,,44,0,
Dr. Slump: Hoyoyo! Space Adventure,Animation,7.2,43,90 min,-1982,,,,43,0,
Armored Trooper VOTOMS: Big Battle,"Animation, Action, Drama",6.6,41,60 min,(1986 Video),,TV-MA,,41,0,
Future GPX Cyber Formula 11,"Animation, Action, Adventure",7.2,8,30 min,(1992–1993),"Show Hayami,Jun'ichi Kanemaru",,,8,0,
Degenerate,"Animation, Action, Comedy",7.8,62,70 min,-2019,,,,62,0,
Ozuma,"Animation, Action, Adventure",6.2,49,,-2012,"Atsuko Tanaka,Rie Tanaka,Tetsuya Kakihara,Show Hayami",,,49,0,
Eiga futari wa purikyua max heart 2: Yuki-zora no tomodati,Animation,6.6,34,,-2005,,,,34,0,
Tearmoon Empire,"Animation, Comedy, Fantasy",,,,,"Sumire Uesaka,Tomori Kusunoki,Yûichirô Umehara,Yoshitsugu Matsuoka",,,,0,
To Heart 2,"Animation, Comedy, Drama",6.3,22,,(2005–2006),"Jun Fukuyama,Yurika Ochiai,Kôsuke Toriumi,Shizuka Itou",,,22,0,
Tetsujin 28-gou FX,"Animation, Action, Sci-Fi",6,9,,(1992–1993),"Megumi Hayashibara,Wataru Takagi,Hideyuki Tanaka,Takeshi Kusao",,,9,0,
Recorder and Randsell,"Animation, Comedy",6.4,70,3 min,(2012–2013),"Aya Uchida,Takahiro Sakurai,Rie Kugimiya,Ryôtarô Okiayu",TV-14,,70,0,
The Ideon: A Contact,"Animation, Action, Drama",6.1,124,85 min,-1982,,,,124,0,
Wanna Be's,"Animation, Comedy, Drama",6.4,43,45 min,(1986 Video),,,,43,0,
Anime de Wakaru Shinryounaika,"Animation, Comedy",6.2,46,,-2015,"Maaya Uchida,Yôko Hikasa,Yurika Endou",,,46,0,
Usakame,"Animation, Comedy, Sport",5.4,41,4 min,-2016,"Yuki Nakashima,Hikaru Koide,Izumi Araida,Maria Tanijiri",,,41,0,
Macross Delta the Movie: Passionate Walküre,"Animation, Sci-Fi",6.6,49,120 min,-2018,,,,49,0,
Battle Girl High School,"Animation, Action, Sci-Fi",5.1,26,23 min,(2017– ),"Sora Amamiya,Hitomi Harada,Saori Hayami,Kaede Hondo",TV-14,,26,0,
Nayuta,"Animation, Action, Adventure",7.8,28,80 min,(1986 Video),,,,28,0,
New Dream Hunter Rem: Massacre in the Phantasmic Labyrinth,"Animation, Fantasy",6.5,12,50 min,(1992 Video),,,,12,0,
The Monkey Prince,Animation,,,,,,,,,0,
Power Dolls,"Animation, Action, Comedy",5.5,24,,(1996– ),"Aya Hisakawa,Junie Hoang,Yumi Takada,Jôji Nakata",,,24,0,
W'z,Animation,6.3,16,23 min,-2019,"Takuya Eguchi,Akane Fujita,Katsumi Fukuhara,Jun Fukuyama",,,16,0,
Fantascience World Gulliver Boy,"Animation, Action, Adventure",,,,-1995,"Akira Kamiya,Bin Shimada,Kappei Yamaguchi,Chisa Yokoyama",,,,0,
One Piece Pilot 1,"Animation, Short, Adventure",6.3,9,,-2000,"Don Brown,Trevor Devall,Andrew Francis,Jillian Michaels",,,9,0,
Sasami mahô shôjo kurabu,"Animation, Fantasy",5.8,43,,(2006– ),"Cherami Leigh,Luci Christian,Alison Viktorin,Monica Rial",TV-PG,,43,0,
Tekken Chinmi,"Animation, Adventure, Comedy",7.6,15,,-1988,,,,15,0,
Lupin III: Seven Days Rhapsody,"Animation, Action, Comedy",6.3,185,90 min,(2006 TV Movie),,,,185,0,
Ogre Slayer,"Animation, Fantasy, Horror",6.7,58,60 min,-1995,"Jason Gray-Stanford,Jillian Michaels,Takeshi Kusao,Masako Katsuki",,,58,0,
Ojisan and Marshmallow,"Animation, Comedy, Romance",6.3,136,4 min,(2016– ),"Tetsu Inada,Eri Kitamura,Kana Hanazawa,Tetsuya Kakihara",,,136,0,
New Dream Hunter Rem: The Sleep Knights,"Animation, Short, Fantasy",6.4,13,37 min,(1990 Video),,,,13,0,
Obake no Q-taro,"Animation, Comedy",7.9,18,30 min,(1965–1967),"Machiko Soga,Naoki Tatsuta,Keiko Yokozawa,Eiko Masuyama",,,18,0,
Mainichi ga nichiyoubi,"Animation, Action, Romance",8.3,20,160 min,(1990–1992),"Miki Itô,Yasunori Matsumoto,Akiko Hiramatsu,Masaru Ikeda",,,20,0,
A Playthrough of a Certain Dude's VRMMO Life,"Animation, Action, Adventure",,,,,"Kaito Ishikawa,Reina Ueda,Tasuku Hatanaka,Miho Okasaki",,,,0,
Mamotte Shugogetten!,"Animation, Comedy, Fantasy",6.2,10,,(1998–1999),"Daisuke Sakaguchi,Mariko Kôda,Yumi Takada,Toshiyuki Morikawa",,,10,0,
Kuroko no Basket: Oshaberi Demo Shimasen ka,"Animation, Short, Comedy",7.4,20,16 min,(2014 Video),"Ryohei Kimura,Daisuke Ono,Kenshô Ono,Yuki Ono",,,20,0,
And Yet the Town Moves,"Animation, Comedy, Drama",7.2,126,24 min,-2010,"Chiaki Omigawa,Aoi Yûki,Miyu Matsuki,Takahiro Sakurai",TV-PG,,126,0,
Uchi Tama?! Uchi no Tama Shirimasen ka?,Animation,6.7,30,,(2020– ),"Sôma Saitô,Yûki Kaji,Yuma Uchida,Wataru Hatano",,,30,0,
Koisuru Asteroid: KiraKira Zoukan-gou,"Animation, Short, Comedy",6.6,5,,-2020,"Tomoyo Takayanagi,Nao Tôyama,Sumire Uesaka,Maria Sashide",,,5,0,
Shining Tears X Wind,"Animation, Adventure, Fantasy",5.6,59,,-2007,"Sôichirô Hoshi,Yui Horie,Akira Ishida,Chiwa Saitô",,,59,0,
Yume no crayon oukoku,"Animation, Adventure, Comedy",7.9,27,30 min,(1997–1999),"Yuka Tokumitsu,Junko Takeuchi,Yuki Matsuoka,Kenji Nomura",,,27,0,
Flame of Recca: Final Burning,"Animation, Short, Action",6.6,11,30 min,-2004,"Kôsuke Okano,Nobuo Tobita,Hikaru Midorikawa,Akiko Hiramatsu",,,11,0,
Child Frog Demetan,"Animation, Drama",7.4,91,25 min,(1973– ),"Kaneta Kimotsuki,Hiroshi Ôtake,Mari Okamoto,Kôsei Tomita",,,91,0,
The Golden Bat,"Action, Animation",7.4,59,,(1967–1968),,,,59,0,
Joker: Marginal City,"Animation, Short, Action",5,21,42 min,-1992,,,,21,0,
Extra Olympia Kyklos,"Animation, Comedy",7.1,53,,(2020– ),"Daisuke Ono,Jin Katagiri,Takashi Satô",,,53,0,
Beast Fighter - The Apocalypse,"Animation, Action, Fantasy",5.8,11,22 min,(2003– ),"Nana Mizuki,Kentarô Itô,Taiki Matsuno,Shoko Kikuchi",,,11,0,
Shimajirô to fufu no daibôken - sukue nanairo no hana,"Animation, Family",,,60 min,-2013,,,,,0,
The Green Cat,"Animation, Short, Sci-Fi",6.1,34,24 min,(1983 Video),,,,34,0,
Fighting Fairy Girl Rescue Me: Mave-chan,"Animation, Short",6.3,10,25 min,(2005 Video),"Kirk Baily,Johnny Yong Bosch,Rebecca Forstadt,Grant George",,,10,0,
Kasumin,"Animation, Comedy",8,9,30 min,(2001–2003),"Kaori Mizuhashi,Takahiro Sakurai,Unshô Ishizuka,Rei Sakuma",TV-Y7,,9,0,
Ladius,"Animation, Sci-Fi",6.2,34,,(1987 Video),,,,34,0,
Amazing Nuts!,"Animation, Adventure, Crime",5.8,20,7 min,-2006,,,,20,0,
Miracle Girls,"Animation, Drama, Family",7.4,58,24 min,-1993,"Nariko Fujieda,Noriko Nagai,Kappei Yamaguchi,Ken Yamaguchi",,,58,0,
The Irresponsible Galaxy Tylor,"Animation, Short, Adventure",3.3,32,3 min,(2017– ),"Kanon Takao,Hikaru Koide",,,32,0,
Shinesman,"Animation, Comedy, Sci-Fi",7.4,65,60 min,(1996– ),"Yasunori Matsumoto,Show Hayami,Kôichi Yamadera,Ken'ichi Ono",Not Rated,,65,0,
Jigoku Sensei Nube OVA,"Animation, Action, Thriller",5.6,11,,(1998 Video),,,,11,0,
Onsen yôsei Hakone-chan,Animation,5.4,31,4 min,(2015– ),"Saki Ono,Taishi Murata,Yuuki Kuwahara,Mao Ichimichi",,,31,0,
Frame Arms Girl Movie: Kya Kya Ufufu na Wonderland,"Animation, Sci-Fi, War",4.4,22,82 min,-2019,,,,22,0,
Sparrow's Hotel,"Animation, Comedy",4.9,21,3 min,(2013– ),"Minori Chihara,Haruka Nagashima,Daisuke Kishio,Daisuke Ono",,,21,0,
Future GPX Cyber Formula Zero,"Animation, Action, Adventure",7.6,9,30 min,(1994–1995),"Kotono Mitsuishi,Jun'ichi Kanemaru",,,9,0,
Domo,Animation,7.2,37,,(2008–2009),,,,37,0,
Ketsuekigata kun,Animation,8.2,5,,-2013,"Jun Fukuyama,Akira Ishida,Yûichi Nakamura",,,5,0,
Summer Pockets,"Animation, Drama, Romance",,,,(2022– ),,,,,0,
Afro Samurai Pilot,"Animation, Short, Action",7.8,157,3 min,(2003 Video),,Not Rated,,157,0,
Funky Fables,"Animation, Fantasy",,,,(1992– ),,,,,0,
Dream Dimension Hunter Fandora,"Animation, Adventure, Fantasy",6.5,25,102 min,(1985 Video),,,,25,0,
The Great Battle of the Flying Saucers,"Animation, Short, Action",6.2,23,30 min,-1975,,,,23,0,
Gekijôban Hakuôki: Dainishô shikon sôkyû,Animation,6.7,119,87 min,-2014,,,,119,0,
Queen's Blade: Siggy no seinaru pose shippori lesson,"Animation, Short",,,20 min,(2012 Video),,,,,0,
Nanatsu no Taizai: Eiyuu Tachi no Tawamure,"Animation, Short, Fantasy",7.7,21,24 min,(2015 Video),"Yûki Kaji,Misaki Kuno",,,21,0,
Kojima Productions,"Animation, Short, Action",9.1,33,,-2016,,,,33,0,
Aria the Avvenire,Animation,7.7,51,63 min,(2015 Video),,,,51,0,
Space Warrior Baldios,"Animation, Action, Adventure",7.5,34,25 min,(1980–1981),"Kaneto Shiozawa,Mami Koyama,Akira Kamiya,Kazuhiko Inoue",,,34,0,
Mfinda,"Animation, Adventure, Fantasy",,,,,,,,,0,
Goal FH,"Animation, Action, Sport",6.7,31,30 min,(1994– ),"Akira Ishida,Junko Iwao,Yuka Koyama,Ryôtarô Okiayu",,,31,0,
Kino no tabi: Life goes on,"Animation, Short",7.4,501,30 min,-2005,,,,501,0,
Armored Trooper VOTOMS: Phantom Chapter,"Animation, Action, Sci-Fi",5.8,14,150 min,-2010,,TV-MA,,14,0,
Tonari no Seki-kun OAD,"Animation, Short, Comedy",,,14 min,(2014 Video),,,,,0,
